timestamp,category,service,test_case,run_idx,warmup,total_s,ttft_s,metric_name,metric_value,ok,error,notes
2026-06-14T22:01:31+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,1,True,2.234763,1.956062,tokens_per_s,22.37,True,,tier=nube-alta-gama; tokens=50
2026-06-14T22:01:39+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,2,False,1.764791,1.630633,tokens_per_s,43.63,True,,tier=nube-alta-gama; tokens=77
2026-06-14T22:01:48+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,3,False,1.773121,1.667303,tokens_per_s,40.04,True,,tier=nube-alta-gama; tokens=71
2026-06-14T22:01:57+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,4,False,1.688761,1.584666,tokens_per_s,45.6,True,,tier=nube-alta-gama; tokens=77
2026-06-14T22:02:06+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,5,False,2.231743,2.117501,tokens_per_s,34.5,True,,tier=nube-alta-gama; tokens=77
2026-06-14T22:02:15+00:00,LLM,Gemini-2.5-Flash,razonamiento_logico,6,False,1.970296,1.849077,tokens_per_s,36.04,True,,tier=nube-alta-gama; tokens=71
2026-06-14T22:02:24+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,1,True,2.086442,2.082722,tokens_per_s,3.83,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:02:33+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,2,False,2.036377,2.023872,tokens_per_s,3.44,True,,tier=nube-alta-gama; tokens=7
2026-06-14T22:02:42+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,3,False,2.080199,2.061573,tokens_per_s,3.37,True,,tier=nube-alta-gama; tokens=7
2026-06-14T22:02:51+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,4,False,2.047926,2.031704,tokens_per_s,3.91,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:03:00+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,5,False,1.787775,1.780144,tokens_per_s,4.47,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:03:09+00:00,LLM,Gemini-2.5-Flash,seguimiento_instrucciones,6,False,2.319957,,tokens_per_s,0.0,True,,tier=nube-alta-gama; tokens=0
2026-06-14T22:03:18+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,1,True,1.564265,1.41767,tokens_per_s,23.01,True,,tier=nube-alta-gama; tokens=36
2026-06-14T22:03:26+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,2,False,0.707042,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:03:34+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,3,False,1.503547,1.398695,tokens_per_s,28.6,True,,tier=nube-alta-gama; tokens=43
2026-06-14T22:03:43+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,4,False,1.730504,1.641823,tokens_per_s,24.85,True,,tier=nube-alta-gama; tokens=43
2026-06-14T22:03:52+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,5,False,1.676183,1.575574,tokens_per_s,21.48,True,,tier=nube-alta-gama; tokens=36
2026-06-14T22:04:00+00:00,LLM,Gemini-2.5-Flash,salida_estructurada_json,6,False,1.570918,1.487431,tokens_per_s,27.37,True,,tier=nube-alta-gama; tokens=43
2026-06-14T22:04:09+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,1,True,2.054959,2.042435,tokens_per_s,3.89,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:04:18+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,2,False,2.148011,2.137296,tokens_per_s,3.72,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:04:26+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,3,False,0.794604,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:04:34+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,4,False,0.902162,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:04:42+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,5,False,0.833153,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:04:51+00:00,LLM,Gemini-2.5-Flash,conocimiento_dominio,6,False,1.883484,1.877626,tokens_per_s,4.25,True,,tier=nube-alta-gama; tokens=8
2026-06-14T22:04:59+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,1,True,0.67232,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:06+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,2,False,0.6165,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:14+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,3,False,0.507695,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:21+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,4,False,0.581119,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:29+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,5,False,0.652038,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:36+00:00,LLM,Gemini-2.5-Flash,robustez_idioma,6,False,0.469403,,tokens_per_s,,False,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:streamGenerateContent?alt=sse&***REDACTED*** tokens=,
2026-06-14T22:05:45+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,1,True,1.164501,0.708441,tokens_per_s,171.75,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:05:53+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,2,False,1.099544,0.639135,tokens_per_s,181.89,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:06:01+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,3,False,1.076253,0.621581,tokens_per_s,185.83,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:06:09+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,4,False,1.003736,0.604292,tokens_per_s,199.26,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:06:17+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,5,False,1.07631,0.667605,tokens_per_s,185.82,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:06:25+00:00,LLM,Gemini-2.5-Flash-Lite,razonamiento_logico,6,False,1.212198,0.710288,tokens_per_s,164.99,True,,tier=nube-bajo-costo; tokens=200
2026-06-14T22:06:33+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,1,True,0.748455,0.647048,tokens_per_s,54.78,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:06:41+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,2,False,0.777058,0.623022,tokens_per_s,52.76,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:06:48+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,3,False,0.781437,0.638166,tokens_per_s,52.47,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:06:56+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,4,False,0.797731,0.638509,tokens_per_s,51.4,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:07:04+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,5,False,1.272341,1.124779,tokens_per_s,32.22,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:07:12+00:00,LLM,Gemini-2.5-Flash-Lite,seguimiento_instrucciones,6,False,0.790928,0.640401,tokens_per_s,51.84,True,,tier=nube-bajo-costo; tokens=41
2026-06-14T22:07:20+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,1,True,0.749878,0.652103,tokens_per_s,52.01,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:07:28+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,2,False,0.778776,0.690573,tokens_per_s,50.08,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:07:35+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,3,False,0.707365,0.604633,tokens_per_s,55.13,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:07:43+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,4,False,0.744363,0.67043,tokens_per_s,52.39,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:07:51+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,5,False,0.845508,0.743842,tokens_per_s,46.13,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:07:59+00:00,LLM,Gemini-2.5-Flash-Lite,salida_estructurada_json,6,False,0.710977,0.621193,tokens_per_s,54.85,True,,tier=nube-bajo-costo; tokens=39
2026-06-14T22:08:07+00:00,LLM,Gemini-2.5-Flash-Lite,conocimiento_dominio,1,True,1.161369,0.675792,tokens_per_s,105.05,True,,tier=nube-bajo-costo; tokens=122
2026-06-14T22:08:15+00:00,LLM,Gemini-2.5-Flash-Lite,conocimiento_dominio,2,False,1.154841,0.760181,tokens_per_s,105.64,True,,tier=nube-bajo-costo; tokens=122
2026-06-14T22:08:23+00:00,LLM,Gemini-2.5-Flash-Lite,conocimiento_dominio,3,False,1.004527,0.600467,tokens_per_s,121.45,True,,tier=nube-bajo-costo; tokens=122
2026-06-14T22:08:31+00:00,LLM,Gemini-2.5-Flash-Lite,conocimiento_dominio,4,False,1.06775,0.614363,tokens_per_s,114.26,True,,tier=nube-bajo-costo; tokens=122
